Rk,Season,Conf,W,L,W-L%,W,L,W-L%,SRS,SOS,PS/G,PA/G,AP Pre,AP High,AP Final,NCAA Tournament,Seed,Coach(es)
1,2024-25,Big 12,21,13,0.618,11,9,0.55,20.09,13.56,76.1,69.6,1,1,,Lost NCAA Tournament First Round,7,Bill Self
2,2023-24,Big 12,23,11,0.676,10,8,0.556,16.35,11.32,75.6,69.9,1,1,19,Lost NCAA Tournament Second Round,4,Bill Self
3,2022-23,Big 12,28,8,0.778,13,5,0.722,19.2,11.84,75.4,68.1,5,2,4,Lost NCAA Tournament Second Round,1,Bill Self/Norm Roberts
4,2021-22,Big 12,34,6,0.85,14,4,0.778,22.28,11.3,78.2,67.3,3,3,3,Won NCAA Tournament National Final,1,Bill Self
5,2020-21,Big 12,21,9,0.7,12,6,0.667,15.29,10.26,73,67,6,3,12,Lost NCAA Tournament Second Round,3,Bill Self
6,2019-20,Big 12,28,3,0.903,17,1,0.944,24.96,11.63,74.6,60.7,3,1,1,Disqualified From Tournament,0,Bill Self
7,2018-19,Big 12,26,10,0.722,12,6,0.667,18.35,12.79,75.7,70.1,1,1,17,Lost NCAA Tournament Second Round,4,Bill Self
8,2017-18,Big 12,31,8,0.795,13,5,0.722,21.39,11.88,81.4,71.9,4,2,4,Lost NCAA Tournament National Semifinal,1,Bill Self
9,2016-17,Big 12,31,5,0.861,16,2,0.889,23.53,12.23,83.2,71.9,3,1,3,Lost NCAA Tournament Regional Final,1,Bill Self
10,2015-16,Big 12,33,5,0.868,15,3,0.833,23.87,11.22,81.3,67.6,4,1,1,Lost NCAA Tournament Regional Final,1,Bill Self
11,2014-15,Big 12,27,9,0.75,13,5,0.722,18.47,12.13,71.1,64.8,5,5,10,Lost NCAA Tournament Third Round,2,Bill Self
12,2013-14,Big 12,25,10,0.714,14,4,0.778,20.25,11.4,79,70.1,5,2,10,Lost NCAA Tournament Third Round,2,Bill Self
13,2012-13,Big 12,31,6,0.838,14,4,0.778,20.79,7.55,75.2,61.9,7,2,3,Lost NCAA Tournament Regional Semifinal,1,Bill Self
14,2011-12,Big 12,32,7,0.821,16,2,0.889,21.72,9.93,73.5,61.7,13,3,6,Lost NCAA Tournament National Final,2,Bill Self
15,2010-11,Big 12,35,3,0.921,14,2,0.875,24.1,7.62,81.2,64.7,7,1,2,Lost NCAA Tournament Regional Final,1,Bill Self
16,2009-10,Big 12,33,3,0.917,15,1,0.938,24.68,8.25,81.6,64.2,1,1,1,Lost NCAA Tournament Second Round,1,Bill Self
17,2008-09,Big 12,27,8,0.771,14,2,0.875,18.02,7.9,76.4,65.4,24,9,14,Lost NCAA Tournament Regional Semifinal,3,Bill Self
18,2007-08,Big 12,37,3,0.925,13,3,0.813,26.9,8.2,80.5,61.5,4,2,4,Won NCAA Tournament National Final,1,Bill Self
19,2006-07,Big 12,33,5,0.868,14,2,0.875,22.62,6.86,78.4,61.7,3,2,2,Lost NCAA Tournament Regional Final,1,Bill Self
20,2005-06,Big 12,25,8,0.758,13,3,0.813,20.02,7.6,75.2,61.3,,12,12,Lost NCAA Tournament First Round,4,Bill Self
21,2004-05,Big 12,23,7,0.767,12,4,0.75,20.68,10.85,75,65.2,1,1,12,Lost NCAA Tournament First Round,3,Bill Self
22,2003-04,Big 12,24,9,0.727,12,4,0.75,17.1,9.44,75.8,67.2,6,1,16,Lost NCAA Tournament Regional Final,4,Bill Self
